drug,disease
albumin human,"Hypoproteinemia, Pancreatitis, Peritonitis, Postoperative Albumin Loss, Shock"
albuterol,"Asthma, acute, Asthma, Maintenance, Bronchiectasis, Bronchospasm Prophylaxis, COPD, Acute, COPD, Maintenance, COPD, Maintenance"
alcaftadine,"Conjunctivitis, Allergic"
alclometasone,Eczema
aldesleukin,"Renal Cell Carcinoma, Melanoma, Melanoma, Metastatic"
alemtuzumab,Chronic Lymphocytic Leukemia
alendronate,"Aseptic Necrosis, Osteoporosis, Paget's Disease, Prevention of Osteoporosis"
alfuzosin,Benign Prostatic Hyperplasia
alglucosidase alfa,Pompe disease
alirocumab,"Cardiovascular Risk Reduction, High Cholesterol, Familial Heterozygous"
alitretinoin,Kaposi's Sarcoma
allantoin,Herpes Simplex
allopurinol,"Urinary Tract Stones, Calcium Oxalate Calculi with Hyperuricosuria, Cardiothoracic Surgery, Leishmaniasis, Gout, Gout, High Risk Percutaneous Transluminal Angioplasty, Hyperuricemia Secondary to Chemotherapy, Mania, Reactive Perforating Collangenosis"
almotriptan,Migraine
aloe polysaccharides,Lichen Simplex Chronicus
alpelisib,"Breast Cancer, Male"
alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency
alprazolam,"Anxiety, Borderline Personality Disorder, Dysautonomia, Panic Disorder, Tinnitus"
alprostadil,"Erectile Dysfunction, Patent Ductus Arteriosus"
alteplase,"Thrombotic/Thromboembolic Disorder, Ischemic Stroke, IV Catheter Clot, Pulmonary Embolism"
aluminum acetate,Otitis Externa
aluminum chloride hexahydrate,Hyperhidrosis
aluminum hydroxide,"Gas, Indigestion, Laryngopharyngeal Reflux, Gastrointestinal Hemorrhage, Hiatal Hernia, Hiatal Hernia, Hyperphosphatemia, Peptic Ulcer, Stress Ulcer Prophylaxis"
alvimopan,"Gastrointestinal Surgery, Postoperative Ileus"
amantadine,"Sexual Dysfunction, SSRI Induced, Chronic Fatigue Syndrome, Head Injury, Extrapyramidal Reaction, Fatigue, Influenza, Influenza Prophylaxis, Influenza A, Parkinson's Disease, Post-Polio Syndrome"
ambrisentan,Pulmonary Hypertension
amifampridine,Lambert-Eaton Myasthenic Syndrome
amifostine,"Chemotherapy Toxicity, Xerostomia"
amikacin,"Bacteremia, Cystic Fibrosis, Febrile Neutropenia, Intraabdominal Infection, Joint Infection, Meningitis, Nosocomial Pneumonia, Tuberculosis, Active"
amikacin liposome,"Mycobacterium avium-intracellulare, Treatment"
amiloride,Ascites
aminocaproic acid,Fibrinolytic Bleeding
aminolevulinic acid,"Actinic Keratosis, Keratosis"
aminosalicylic acid,"Tuberculosis, Resistant"
amiodarone,"Arrhythmia, Supraventricular Tachycardia, Ventricular Tachycardia, Ventricular Fibrillation"
amitriptyline,"Anxiety and Stress, Agitation, Interstitial Cystitis, Urinary Incontinence, Burning Mouth Syndrome (Glossopyrosis), Post Traumatic Stress Disorder, Reflex Sympathetic Dystrophy Syndrome, Persistent Depressive Disorder, Chronic Myofascial Pain, Cyclic Vomiting Syndrome, Neurotic Depression, Depressive Psychosis, Insomnia, Dysautonomia, Hyperhidrosis, Fibromyalgia, Irritable Bowel Syndrome, Migraine Prevention (Migraine Prophylaxis), Neuropathic Pain, Pain, Somatoform Pain Disorder, Pudendal Neuralgia, Vulvodynia"
amlodipine,"Angina, Angina, Coronary Artery Disease, Coronary Artery Disease, Heart Failure (Congestive Heart Failure), High Blood Pressure (Hypertension), Migraine Prevention (Migraine Prophylaxis), Prevention of Cardiovascular Disease, Raynaud's Syndrome"
ammoniated mercury,Impetigo
ammonium chloride,Alkalosis
ammonium lactate,"Ichthyosis, Dry Skin (Xerosis), Pruritus"
amoxicillin,"Actinomycosis, Urinary Tract Infection, Urinary Tract Infection, Sinusitis, Sinusitis, Aspiration Pneumonia, Anthrax Prophylaxis, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bacterial Infection, Bacterial Infection, Bladder Infection, Bronchiectasis, Bronchiectasis, Bronchitis, Bronchitis, Pneumonia, Pneumonia, Skin or Soft Tissue Infection, Skin or Soft Tissue Infection, Chlamydia Infection, Skin and Structure Infection, Cutaneous Bacillus anthracis, Dental Abscess, Otitis Media, Otitis Media, Febrile Neutropenia, Strep Throat (Streptococcal Pharyngitis), Helicobacter Pylori Infection, Helicobacter Pylori Infection, Helicobacter Pylori Infection, Kidney Infections (Pyelonephritis), Lyme Disease, Arthritis, Lyme Disease, Carditis, Lyme Disease, Erythema Chronicum Migrans, Lyme Disease, Neurologic, Melioidosis, Upper Respiratory Tract Infection, Upper Respiratory Tract Infection, Small Bowel Bacterial Overgrowth, Spleen Removal (Splenectomy), Tonsillitis/Pharyngitis"
amphetamine,"ADHD (Attention Deficit Hyperactivity Disorder), ADHD (Attention Deficit Hyperactivity Disorder), Narcolepsy, Narcolepsy, Fatigue"
amphotericin b,"Aspergillosis, Aspergilloma, Aspergillosis, Invasive, Blastomycosis, Esophageal Candidiasis, Candida Urinary Tract Infection, Candidemia, Oral Thrush, Coccidioidomycosis, Coccidioidomycosis, Meningitis, Cryptococcal Meningitis, Immunocompetent Host, Cryptococcal Meningitis, Immunosuppressed Host, Cryptococcosis, Leishmaniasis, Fungal Endocarditis, Fungal Infection Prevention, Fungal Infection Prophylaxis, Histoplasmosis, Immunocompenent Host, Histoplasmosis, Meningitis, Paracoccidioidomycosis, Sporotrichosis"
amphotericin b lipid complex,"Aspergillosis, Aspergilloma, Aspergillosis, Invasive, Blastomycosis, Candidemia, Coccidioidomycosis, Cryptococcosis, Leishmaniasis, Histoplasmosis"
amphotericin b liposomal,"Aspergillosis, Invasive, Candidemia, Cryptococcal Meningitis, Immunosuppressed Host, Cryptococcosis, Leishmaniasis, Febrile Neutropenia"
ampicillin,"Urinary Tract Infection, Aspiration Pneumonia, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Deep Neck Infection, Endocarditis, Epiglottitis, Gastroenteritis, Leptospirosis, Meningitis, Pharyngitis, Prevention of Perinatal Group B Streptococcal Disease, Upper Respiratory Tract Infection, Septicemia, Shigellosis, Surgical Prophylaxis, Typhoid Fever"
amyl nitrite,Cyanide Poisoning
anagrelide,"Chronic Myelogenous Leukemia, Thrombocythemia"
anakinra,"Still's Disease, Cryopyrin-Associated Periodic Syndromes, Schnitzler Syndrome"
anastrozole,"Breast Cancer, Breast Cancer, Metastatic, Endometrial Cancer, McCune-Albright Syndrome, Pubertal Gynecomastia"
anidulafungin,"Esophageal Candidiasis, Candidemia"
anthrax immune globulin intravenous,Anthrax
anthrax vaccine adsorbed,Anthrax Prophylaxis
anti-inhibitor coagulant complex,Hemophilia A
anti-thymocyte globulin (rabbit),Renal Transplant
antihemophilic factor,"Hemophilia A, Hemophilia A, von Willebrand Disease"
antithrombin (recombinant),Antithrombin III Deficiency
antithrombin iii,Antithrombin III Deficiency
antivenin (black widow spider),Venomous Spider Bite
antivenin (crotalidae) polyvalent,Venomous Snake Bite
antivenin (micrurus fulvius),Venomous Snake Bite
antivenom (centruroides scorpion),Venomous Scorpion Bite
apixaban,"Deep Vein Thrombosis, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, Prophylaxis, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism, Thromboembolic Stroke Prophylaxis, Venous Thromboembolism"
apomorphine,Tardive Dyskinesia
apraclonidine,"Glaucoma, Postoperative Increased Intraocular Pressure"
apremilast,"Behcet's Disease, Plaque Psoriasis, Psoriatic Arthritis"
aprepitant,"Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative"
argatroban,Thrombotic/Thromboembolic Disorder
aripiprazole,"Agitated State, Autism, Bipolar Disorder, Borderline Personality Disorder, Post Traumatic Stress Disorder, Schizophrenia, Obsessive Compulsive Disorder, Schizoaffective Disorder, Tourette's Syndrome"
armodafinil,"Chronic Fatigue Syndrome, Narcolepsy, Drowsiness (Hypersomnia), Fibromyalgia, Jet Lag, Obstructive Sleep Apnea/Hypopnea Syndrome, Shift Work Sleep Disorder"
arsenic trioxide,Acute Promyelocytic Leukemia
artemether,Malaria
articaine,Local Anesthesia
ascorbic acid,"Dietary Supplementation, Scurvy, Urinary Acidification"
asenapine,"Borderline Personality Disorder, Post Traumatic Stress Disorder"
asfotase alfa,Hypophosphatasia
asparaginase erwinia chrysanthemi,"Acute Lymphocytic Leukemia, Acute Lymphoblastic Leukemia"
asparaginase escherichia coli,Acute Lymphocytic Leukemia
aspirin,"Angina, Angina Pectoris Prophylaxis, Ankylosing Spondylitis, Antiphospholipid Syndrome, Prosthetic Heart Valves - Thrombosis Prophylaxis, Osteoarthritis, Aseptic Necrosis, Back Pain, Migraine, Ischemic Stroke, Muscle Spasm (Involuntary Hypertonicity), Muscle Spasm (Involuntary Hypertonicity), Muscle Spasm (Involuntary Hypertonicity), Systemic Lupus Erythematosus, Fever, Hangover, Headache, Heart Attack (Myocardial Infarction), Ischemic Stroke, Prophylaxis, Ischemic Stroke, Prophylaxis, Juvenile Rheumatoid Arthritis, Kawasaki Disease (Mucocutaneous Lymph Node Syndrome), Transient Ischemic Attack, Myocardial Infarction, Prophylaxis, Niacin Flush, Pain/Fever, Prevention of Cardiovascular Disease, Prevention of Thromboembolism in Atrial Fibrillation, Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis, Revascularization Procedures, Prophylaxis, Rheumatic Fever, Sciatica, Spondyloarthritis, Thromboembolic Stroke Prophylaxis"
atazanavir,Nonoccupational Exposure
atenolol,"Angina, Alcohol Withdrawal, Angina Pectoris Prophylaxis, Mitral Valve Prolapse, High Blood Pressure (Hypertension), Esophageal Variceal Hemorrhage Prophylaxis, Heart Attack (Myocardial Infarction), Migraine Prevention (Migraine Prophylaxis), Supraventricular Tachycardia, Ventricular Tachycardia"
atezolizumab,"Bladder Cancer, Small Cell Lung Cancer, Urothelial Carcinoma"
atomoxetine,"ADHD (Attention Deficit Hyperactivity Disorder), Social Anxiety Disorder"
atorvastatin,"Angina, Coronary Artery Disease, High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia, Prevention of Cardiovascular Disease, Prevention of Cardiovascular Disease"
atovaquone,"Babesiosis, Malaria, Malaria, Malaria Prevention (Malaria Prophylaxis), Pneumocystis Pneumonia, Pneumocystis Pneumonia Prophylaxis, Toxoplasmosis"
atracurium,Anesthetic Adjunct
atropine,"Anticholinesterase Poisoning, AV Heart Block, Bradyarrhythmia, Diarrhea, Chronic, Diarrhea, Diarrhea, Acute, Duodenal Ulcer, Enterocolitis, Irritable Bowel Syndrome, Nerve Agent Poisoning, Organophosphate Poisoning, Organophosphate Poisoning, Pupillary Dilation, Refraction, Assessment, Reversal of Nondepolarizing Muscle Relaxants, Uveitis"
auranofin,Felty's Syndrome
avanafil,Erectile Dysfunction
avapritinib,Gastrointestinal Stromal Tumor
avatrombopag,Thrombocytopenia
avelumab,"Merkel Cell Carcinoma, Urothelial Carcinoma"
axicabtagene ciloleucel,Diffuse Large B-Cell Lymphoma
axitinib,Renal Cell Carcinoma
azacitidine,Myelodysplastic Syndrome
azathioprine,"Glomerulonephritis, Atopic Dermatitis, Eczema, Autoimmune Hepatitis, Behcet's Disease, Primary Biliary Cholangitis, Bullous Pemphigoid, Chronic Active Hepatitis, Chronic Inflammatory Demyelinating Polyradiculoneuropathy, Cogan's Syndrome, Ulcerative Colitis, Nephrotic Syndrome, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Dermatomyositis, Systemic Lupus Erythematosus, Granulomatosis with Polyangiitis, Inflammatory Bowel Disease, Idiopathic Thrombocytopenic Purpura, Myasthenia Gravis, Myopathy, Neurosarcoidosis, Organ Transplant, Rejection Prophylaxis, Pemphigoid, Pemphigus, Renal Transplant, Sarcoidosis, Takayasu's Arteritis, Uveitis"
azelaic acid,Rosacea
azelastine,"Conjunctivitis, Allergic, Allergic Rhinitis"
azficel-t,Facial Wrinkles
azithromycin,"Sinusitis, Babesiosis, Conjunctivitis, Bacterial, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bacterial Infection, Bartonellosis, Bronchitis, Pneumonia, Skin or Soft Tissue Infection, Cervicitis, Chancroid, Chlamydia Infection, Nongonococcal Urethritis, COPD, Acute, Skin and Structure Infection, Cystic Fibrosis, Otitis Media, Gonococcal Infection, Uncomplicated, Granuloma Inguinale, Legionella Pneumonia, Lyme Disease, Erythema Chronicum Migrans, Mycobacterium avium-intracellulare, Prophylaxis, Mycobacterium avium-intracellulare, Treatment, Mycoplasma Pneumonia, Neonatal Conjunctivitis, Pelvic Inflammatory Disease, Pertussis, Pertussis Prophylaxis, Pharyngitis, Upper Respiratory Tract Infection, STD Prophylaxis, Tonsillitis/Pharyngitis, Toxoplasmosis, Typhoid Fever"
aztreonam,"Cystic Fibrosis, Pneumonia with Cystic Fibrosis"
bacitracin,"Conjunctivitis, Bacterial, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Blepharitis, Blepharitis, Blepharoconjunctivitis, Blepharoconjunctivitis, Hordeolum, Hordeolum, Keratitis, Keratoconjunctivitis, Keratoconjunctivitis, Paronychia, Paronychia"
baclofen,"Alcohol Withdrawal, Muscle Twitching (Fasciculations), Cerebral Spasticity, Cervical Dystonia (Spasmodic Torticollis), Muscle Spasm (Involuntary Hypertonicity), Chronic Spasticity, Cluster-Tic Syndrome, Dystonia, Hiccups, Huntington's Disease, Migraine Prevention (Migraine Prophylaxis), Neuralgia, Periodic Limb Movement Disorder, Spasticity, Spinal Spasticity, Temporomandibular Joint Disorder, Trigeminal Neuralgia"
baloxavir marboxil,Influenza
balsalazide,"Ulcerative Colitis, Ulcerative Colitis, Active"
balsam peru,"Dermatologic Lesion, Dermatologic Lesion"
barium sulfate,Computed Tomography
basiliximab,"Organ Transplant, Rejection Prophylaxis"
bazedoxifene,"Hot Flashes, Prevention of Osteoporosis"
bcg,"Tuberculosis, Prophylaxis, Urinary Tract Tumors"
bcg vaccine,"Tuberculosis, Prophylaxis"
becaplermin,Dermal Ulcer
beclomethasone,"Asthma, Maintenance, Nasal Polyps, Nasal Polyps, Prevention, Reversible Airways Disease, Maintenance"
bedaquiline,"Tuberculosis, Resistant"
belatacept,Rejection Prophylaxis
belimumab,Systemic Lupus Erythematosus
belinostat,Peripheral T-cell Lymphoma
belladonna,"Enuresis, Noninfectious Colitis, Parkinsonian Tremor, Peptic Ulcer"
benazepril,"Diabetic Kidney Disease (Diabetic Nephropathy), Left Ventricular Dysfunction"
bendamustine,"Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma"
benzalkonium chloride,"Bacterial Skin Infection, Topical Disinfection"
benzethonium chloride,"Minor Cuts, Scrapes"
benznidazole,Trypanosomiasis
benzocaine,"Anal Itching, Aphthous Ulcer, Burns, External, Cold Sores (Herpes Simplex Labialis), Oral and Dental Conditions, Insect Bites, Premature Ejaculation, Sore Throat, Sore Throat, Sore Throat, Sunburn, Tonsillitis/Pharyngitis"
benzoin,Minor Skin Conditions
benzonatate,Cough
benzoyl peroxide,"Acne, Perioral Dermatitis"
benztropine,"Hyperhidrosis, Extrapyramidal Reaction, Parkinson's Disease"
benzyl alcohol,"Cold Sores (Herpes Simplex Labialis), Head Lice"
benzylpenicilloyl-polylysine,Penicillin Sensitization Testing
bepotastine,"Conjunctivitis, Allergic"
beractant,Respiratory Distress Syndrome
besifloxacin,Ophthalmic Surgery
beta-carotene,Vitamin A Deficiency
betaine,Nonalcoholic Fatty Liver Disease
betamethasone,"Atopic Dermatitis, Tinea Pedis, Tinea Corporis, Bursitis, Crohn's Disease, Acute, Dermatitis, Dermatological Disorders, Psoriasis, Tinea Cruris, Gouty Arthritis, Inflammatory Conditions, Lichen Planus, Lichen Sclerosus, Plaque Psoriasis, Plaque Psoriasis"
bethanechol,"Abdominal Distension, Urinary Retention"
betrixaban,Venous Thromboembolism
bevacizumab,"Renal Cell Carcinoma, Neurofibromatosis, Cervical Cancer, Colorectal Cancer, Fallopian Tube Cancer, Non-Small Cell Lung Cancer, Ovarian Cancer, Pancreatic Cancer, Peritoneal Cancer, Glioblastoma Multiforme, Malignant Glioma, Macular Degeneration, Solid Tumors"
bexarotene,Cutaneous T-cell Lymphoma
bezlotoxumab,Prevention of Clostridioides difficile Infection Recurrence
bicalutamide,Prostate Cancer
bifidobacterium infantis,Dietary Supplementation
bimatoprost,"Eyelash Hypotrichosis, Glaucoma, Open Angle, Intraocular Hypertension"
bioflavonoids,Herbal Supplementation
biotin,Dietary Supplementation
bisacodyl,"Bowel Preparation, Constipation"
bismuth subcitrate potassium,Helicobacter Pylori Infection
bismuth subsalicylate,"Diarrhea, Chronic, Diarrhea, Indigestion, Traveler's Diarrhea, Helicobacter Pylori Infection, Lymphocytic Colitis"
bisoprolol,"Angina Pectoris Prophylaxis, Mitral Valve Prolapse, Premature Ventricular Depolarizations, Supraventricular Tachycardia"
bivalirudin,Percutaneous Coronary Intervention
bleomycin,"Hodgkin's Lymphoma, Non-Hodgkin's Lymphoma, Squamous Cell Carcinoma, Testicular Cancer, Malignant Pleural Effusion"
blinatumomab,Acute Lymphoblastic Leukemia
boric acid,Vaginal Yeast Infection
bortezomib,"Lymphoma, Multiple Myeloma, Mantle Cell Lymphoma"
bosentan,Pulmonary Hypertension
bosutinib,Chronic Myelogenous Leukemia
botulism antitoxin,"Botulism, Botulism Prophylaxis"
botulism immune globulin,Botulism
bremelanotide,Hypoactive Sexual Desire Disorder
brentuximab,"Hodgkin's Lymphoma, Lymphoma, Mycosis Fungoides"
brexanolone,Postpartum Depression
brimonidine,"Rosacea, Eye Redness, Glaucoma, Glaucoma, Open Angle, Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension, Intraocular Hypertension, Intraocular Hypertension"
brinzolamide,"Glaucoma, Open Angle, Glaucoma, Open Angle, Intraocular Hypertension"
brodalumab,Plaque Psoriasis
brolucizumab,Macular Degeneration
bromfenac,Postoperative Ocular Inflammation
bromocriptine,"Acromegaly, Hyperprolactinemia, Tardive Dyskinesia"
brompheniramine,"Cough and Nasal Congestion, Rhinorrhea, Rhinitis"
budesonide,"Asthma, Maintenance, Asthma, Maintenance, Autoimmune Hepatitis, COPD, COPD, Maintenance, Ulcerative Colitis, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Eosinophilic Esophagitis, Inflammatory Bowel Disease, Reversible Airways Disease, Maintenance, Ulcerative Colitis, Active"
bumetanide,"Edema, Ascites, Autism, Pulmonary Edema"
bupivacaine,"Cesarean Section, Local Anesthesia, Postoperative Pain"
buprenorphine,"Chronic Pain, Opiate Dependence, Opiate Dependence, Opiate Dependence - Induction, Opiate Dependence - Maintenance"
bupropion,"ADHD (Attention Deficit Hyperactivity Disorder), Sexual Dysfunction, SSRI Induced, Anxiety, Bipolar Disorder, Persistent Depressive Disorder, Postural Orthostatic Tachycardia Syndrome, Major Depressive Disorder, Depression, Obesity, Obesity, Panic Disorder, Premenstrual Dysphoric Disorder, Seasonal Affective Disorder, Smoking Cessation, Weight Loss"
burosumab,X-Linked Hypophosphatemia
buspirone,"Sexual Dysfunction, SSRI Induced, Anxiety, Borderline Personality Disorder, Panic Disorder"
busulfan,"Bone Marrow Transplantation, Chronic Myelogenous Leukemia, Thrombocythemia"
butalbital,"Migraine, Headache, Headache, Headache, Headache"
butamben,Sore Throat
butorphanol,"Anesthetic Adjunct, Labor Pain"
cabergoline,Hyperprolactinemia
cabozantinib,"Renal Cell Carcinoma, Thyroid Cancer, Hepatocellular Carcinoma"
cadexomer iodine,Dermal Ulcer
caffeine,"Apnea of Prematurity, Migraine, Muscle Spasm (Involuntary Hypertonicity), Cluster Headaches, Drowsiness (Hypersomnia), Hangover, Headache, Headache, Headache, Pain/Fever, Premenstrual Syndrome, Respiratory Failure"
calamine,Pruritus
calcifediol,"Hyperparathyroidism Secondary to Renal Impairment, Hypocalcemia, Renal Osteodystrophy"
calcipotriene,"Psoriasis, Psoriasis, Plaque Psoriasis, Plaque Psoriasis"
calcitonin,"Osteoporosis, Osteogenesis Imperfecta, Hypercalcemia, Paget's Disease"
calcitriol,"Hypocalcemia, Hypoparathyroidism, Renal Osteodystrophy, Rickets, Secondary Hyperparathyroidism"
calcium,"Osteoporosis, Dietary Supplementation, Nausea/Vomiting of Pregnancy"
calcium acetate,Hyperphosphatemia
calcium carbonate,"Osteoporosis, Duodenal Ulcer, Indigestion, Erosive Esophagitis, Hypocalcemia, Osteopenia"
calcium chloride,"Asystole, Electromechanical Dissociation, Hyperkalemia, Hypermagnesemia, Hypocalcemia"
calcium citrate,Dietary Supplementation
calcium gluconate,"Exchange Transfusion, Hyperkalemia, Hypermagnesemia, Hypocalcemia"
calcium lactate,"Hypocalcemia, Hypoparathyroidism, Osteomalacia, Pseudohypoparathyroidism"
"calcium phosphate, tribasic","Hypocalcemia, Hypoparathyroidism, Osteomalacia, Pseudohypoparathyroidism"
calfactant,Respiratory Distress Syndrome
camphor,"Herpes Simplex, Minor Skin Irritation"
canagliflozin,"Cardiovascular Risk Reduction, Cardiovascular Risk Reduction, Diabetic Kidney Disease (Diabetic Nephropathy)"
canakinumab,"Cryopyrin-Associated Periodic Syndromes, Familial Cold Autoinflammatory Syndrome, Tumor Necrosis Factor Receptor Associated Periodic Syndrome, Familial Mediterranean Fever, Hyperimmunoglobulin D Syndrome, Juvenile Idiopathic Arthritis, Muckle Wells Syndrome"
candesartan,Alport Syndrome
cangrelor,Percutaneous Coronary Intervention
cannabidiol,"Dravet Syndrome, Lennox-Gastaut Syndrome"
cantharidin,Warts
capecitabine,"Renal Cell Carcinoma, Anal Cancer, Breast Cancer, Breast Cancer, Metastatic, Colorectal Cancer, Stomach Cancer, Pancreatic Cancer"
caplacizumab,Thrombotic Thrombocytopenic Purpura
capsaicin,"Burning Mouth Syndrome (Glossopyrosis), Diabetic Peripheral Neuropathy, Peripheral Neuropathy, Postherpetic Neuralgia"
captopril,"Polycystic Kidney Disease, Cystinuria, Diabetic Kidney Disease (Diabetic Nephropathy), Hypertensive Emergency, Left Ventricular Dysfunction"
carbachol,"Glaucoma, Production of Miosis"
carbamazepine,"Occipital Neuralgia, Borderline Personality Disorder, Reflex Sympathetic Dystrophy Syndrome, Cluster-Tic Syndrome, Cyclothymic Disorder, Diabetic Peripheral Neuropathy, Dystonia, Epilepsy, Peripheral Neuropathy, Schizoaffective Disorder, Trigeminal Neuralgia, Vulvodynia"
carbamide peroxide,"Ear Wax Impaction, Periodontitis"
carbidopa,"Restless Legs Syndrome, GTP-CH Deficiency, GTP-CH Deficiency, Neuroleptic Malignant Syndrome, Neuroleptic Malignant Syndrome, Parkinson's Disease, Parkinson's Disease, Parkinsonian Tremor"
carbinoxamine,"Conjunctivitis, Allergic, Allergic Urticaria, Dermatographism, Vasomotor Rhinitis"
carboplatin,"Cancer, Cervical Cancer, Ovarian Cancer"
carboprost,"Abortion, Postpartum Bleeding"
carfilzomib,Multiple Myeloma
carglumic acid,Hyperammonemia
carisoprodol,"Muscle Spasm (Involuntary Hypertonicity), Muscle Spasm (Involuntary Hypertonicity), Muscle Spasm (Involuntary Hypertonicity), Nocturnal Leg Cramps"
carmustine,"Brain Tumor, Hodgkin's Lymphoma, Non-Hodgkin's Lymphoma, Glioblastoma Multiforme, Malignant Glioma"
carvedilol,"Angina, Atrial Fibrillation, Heart Failure (Congestive Heart Failure), High Blood Pressure (Hypertension), Left Ventricular Dysfunction"
caspofungin,"Aspergillosis, Invasive, Esophageal Candidiasis, Candidemia, Febrile Neutropenia"
castor oil,"Dermatologic Lesion, Dermatologic Lesion"
cefaclor,Tonsillitis/Pharyngitis
cefadroxil,"Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Skin and Structure Infection, Impetigo, Tonsillitis/Pharyngitis"
